userid,bookcount,trainingcount,age,gender,goal,trainingduration,trainingcalorie,trainingtimes,trainingdays,runningtimes,cyclingtimes,hikingtimes,allduration,allcalorie,alltimes,alldays,traininggoal,difficulty,maxcomboday,kg,bmi,joinedplans,plans,vip_expire,bought_package
5760d7e40be157e72f615039,0,0,36,M,3,7958.08,59667,412,288,19,-1,1,8776.48,71735,434,305,3,2,9,8,24.33,1,20,NULL,0
579c0942eb72d2a33ac37570,1,1,36,M,1,6142.72,44237,519,186,65,3,366,21232.96,132201,956,325,2,2,20,10,26.79,1,63,NULL,0
57c859464933030ffaee129b,2,2,24,M,3,801.9,5659,40,29,-1,6,2,1222.58,7764,50,34,3,1,4,4,23.36,1,13,2018-12-30 23:59:59,0
57e27f8f31f1162b0279b31b,7,4,28,F,2,798.08,3401,51,35,-1,-1,0,1016.82,4008,63,41,0,0,4,3,19.53,0,27,NULL,0
58131ab731f1160852cf42d6,3,0,23,M,1,1488.97,14029,109,40,1,-1,394,9490.03,44864,506,159,1,1,31,6,28.08,0,10,2018-12-21 23:59:59,0
583ec4024933031d9fbc0450,2,0,28,F,2,416.5,1976,24,16,1,-1,0,954.62,3815,42,24,0,0,4,3,19.53,1,17,NULL,0
583ee38c31f1163abfe746ec,0,0,24,F,1,1490.12,8616,117,61,5,1,0,2032.07,11612,137,67,1,2,8,4,22.48,1,43,NULL,0
5884962b4933037545cb0ae2,1,1,26,F,2,995.77,3788,71,60,7,8,0,2433.83,9303,131,90,2,1,6,5,17.96,1,39,NULL,0
58cb9edd387e284de15b3355,10,4,25,F,2,849.15,5156,73,44,37,9,250,9152.38,35659,384,186,2,1,34,8,19.38,1,53,2018-11-11 23:59:59,0
591afa4c31f116063dbad453,4,3,36,F,1,2045.13,9509,180,85,16,-1,5,2908.05,13518,215,95,2,2,6,6,19.98,1,45,NULL,0
59269b5ef4bfb46858807dde,0,0,25,X,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,0
5a6b40c91cf3d11ede9b9cb4,8,6,26,F,2,349.48,2345,7,8,-1,-1,0,378.32,2456,9,9,2,1,1,2,19.81,0,5,NULL,0
5a8f9b53e6668612745125cf,13,13,30,F,1,910.12,6774,27,21,-1,-1,1,1344.28,8042,30,22,0,0,3,4,21.87,0,21,NULL,0
5aa5d2ee1cf3d15b9e0cf495,1,1,28,F,2,160.92,642,25,12,-1,-1,0,220.92,1012,27,13,0,0,2,2,20.55,0,12,NULL,0
5ab587f6e666865d14ffa77b,1,0,43,F,1,0,0,-1,0,1,3,7,690.25,4380,13,11,1,3,2,2,30.86,0,12,NULL,0
5aed506d32b79853149ef6e1,94,93,36,M,1,5267.35,31122,92,75,-1,-1,0,5267.35,31122,93,75,2,0,7,0,21.61,0,0,NULL,1
5b0b5a25ba9e9b55b18efe2e,2,1,32,M,3,45.02,472,0,1,-1,-1,0,45.02,472,1,1,0,0,1,0,23.99,0,2,NULL,0
5b2a70deba9e9b09b8dee869,1,1,25,F,0,49.68,0,0,1,-1,-1,0,49.68,0,1,1,0,0,1,0,0,0,0,NULL,0
5b33852132b79806ddccd4b0,1,1,25,F,0,42.67,178,0,1,-1,-1,0,42.67,178,1,1,0,0,1,0,0,0,0,NULL,0
5b601f2dba9e9b4c202818c7,1,0,25,X,0,0,0,-1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,NULL,0
5b6d6d93e7b4cc0c7fb5f8bd,1,1,25,M,0,55.03,300,0,1,-1,-1,0,55.03,300,1,1,0,0,1,0,0,0,0,NULL,0
5bb9e99e2e0690790c1b37ac,2,2,25,M,0,117.58,1045,1,2,-1,-1,0,117.58,1045,2,2,0,0,1,0,25.18,0,0,NULL,0
5bcdac3732b79828e47f0d0a,1,1,25,F,0,57.23,392,0,1,-1,-1,0,57.23,392,1,1,2,0,1,0,0,0,0,NULL,0
551a368fc96a83066fa57661,90,83,31,F,1,11251.08,65840,626,215,95,3,316,25182.67,127472,1129,278,2,2,22,10,20.55,1,124,2018-11-21 23:59:59,1
556329aedbd47c92cc3a5173,3,2,31,F,2,3686.07,26655,210,162,3,0,0,4144.03,28723,228,171,0,0,10,6,19.72,0,28,NULL,0
558953ac0fac6ed7d9b129fa,1,0,35,F,1,0,0,-1,0,-1,-1,0,0,0,0,0,0,0,0,0,24.98,0,1,NULL,0
5590c5c07b888de0a38012e3,1,1,30,F,1,105.38,774,3,4,-1,-1,81,2398.85,7572,85,56,0,0,8,3,24.09,0,4,NULL,1
55a3ba9c6e4441355acf5a9f,1,1,28,F,1,109.2,818,3,4,0,-1,5,415.08,1798,10,9,0,0,1,2,22.27,0,5,NULL,0
55b5c82302e43c982380f20c,8,8,24,F,1,1246.48,9195,71,38,5,4,29,2636.55,15106,125,63,0,0,6,5,25.39,1,24,NULL,0
55c1b1094655566b207448da,1,1,26,F,1,890.77,4786,68,26,4,-1,0,1184.1,7204,76,32,0,0,4,3,19.49,1,18,NULL,0
55da86743451f0de7e91b261,1,0,36,F,1,1056.7,7399,65,32,-1,-1,0,1056.7,7399,66,32,1,1,2,3,23.44,0,16,NULL,0
562b632c78e916ed9179c684,1,1,26,F,1,410.18,2183,18,13,-1,-1,0,410.18,2183,19,13,2,1,5,2,20.7,0,4,NULL,0
566ef23bc1304b767a0ec695,1,1,28,F,1,831.22,3632,73,46,-1,-1,0,882.57,3806,76,48,1,1,8,3,21.26,1,20,NULL,0
56793073fc27839b248fa27e,1,1,22,F,1,901.13,4650,79,57,16,0,1,1281.18,6615,106,68,0,0,16,4,19.23,1,26,NULL,0
